1,186660.899969487,1,164,235,228,122,46,139,39,327,9
2,186788.129015562,1,164,239,228,122,46,139,39,327,9
3,186831.109772553,1,164,235,228,122,46,93,39,327,9
4,186958.338818628,1,164,239,228,122,46,93,39,327,9
5,187132.282557381,1,164,235,228,122,116,139,39,327,9
6,187259.511603456,1,164,239,228,122,116,139,39,327,9
7,187312.507503837,1,164,235,228,122,232,139,39,327,9
8,187325.888551426,1,164,189,228,122,46,139,39,327,9
9,187439.736549912,1,164,239,228,122,232,139,39,327,9
10,187496.098354492,1,164,189,228,122,46,93,39,327,9
