1,181727.018455727,1,579,137,156,279,173,398,613,,
2,181735.483062944,1,579,137,156,279,173,584,613,,
4,181805.550527122,1,579,137,156,279,173,426,613,,
9,181854.088420557,1,579,137,156,279,173,68,613,,
13,181869.747124646,1,579,137,156,279,370,215,613,,
14,181880.319556108,1,579,137,171,279,173,398,613,,
15,181881.554346558,1,579,137,156,279,173,215,613,,
17,181888.784163326,1,579,137,171,279,173,584,613,,
3,191747.740104336,1,579,137,156,279,173,584,19,613,
5,191819.17095545,1,579,137,156,279,173,426,19,613,
6,191829.030308215,1,579,137,156,279,173,398,19,613,
7,191832.943357237,1,579,137,156,279,173,398,303,613,
8,191842.12099656,1,579,137,156,279,173,426,502,613,
10,191854.513971006,1,579,137,156,279,173,398,502,613,
11,191855.053091414,1,579,137,156,279,173,584,502,613,
12,191865.836308345,1,579,137,156,279,173,68,398,613,
20,191901.041204717,1,579,137,171,279,173,584,19,613,
16,201887.539291505,1,579,137,156,279,173,426,502,19,613
18,201899.93226595,1,579,137,156,279,173,398,502,19,613
19,201900.471386359,1,579,137,156,279,173,584,502,19,613
