1,254342.604529036,1,253,271,147,133,117,144,77,13,217,283,142,327,13
2,254618.027610229,1,253,271,147,133,117,144,77,13,217,283,85,327,13
3,254833.749864985,1,170,271,147,133,117,144,77,13,217,283,142,327,13
4,255109.172946178,1,170,271,147,133,117,144,77,13,217,283,85,327,13
5,255499.999845366,1,253,101,147,133,117,144,77,13,217,283,142,327,13
6,255747.239150972,1,253,271,147,133,117,144,77,13,17,283,142,327,13
7,255775.422926558,1,253,101,147,133,117,144,77,13,217,283,85,327,13
8,255973.753526362,1,170,101,147,133,117,144,77,13,217,283,142,327,13
9,255985.837961046,1,253,271,147,133,117,144,77,13,187,283,142,327,13
10,256022.662232165,1,253,271,147,133,117,144,77,13,17,283,85,327,13
